Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Team
Enes Ünal,TUR,"FW,MF",27.0,17,2,345,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,Bournemouth
Neto,BRA,GK,35.0,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Luis Sinisterra,COL,"FW,MF",25.0,12,1,236,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Bournemouth
Philip Billing,DEN,MF,28.0,10,1,184,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bournemouth
Max Aarons,ENG,DF,24.0,3,1,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Daniel Jebbison,CAN,FW,20.0,16,0,119,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Bournemouth
Ben Winterburn,ENG,"MF,FW",19.0,4,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Julio Soler,ARG,"DF,FW",19.0,3,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Remy Rees-Dottin,ENG,FW,18.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Zain Silcott-Duberry,MSR,FW,19.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Daniel Adu-Adjei,ENG,FW,19.0,0,0,,,,,,,,,,,Bournemouth
Matai Akinmboni,USA,DF,17.0,0,0,,,,,,,,,,,Bournemouth
Jaidon Anthony,ENG,"FW,MF",24.0,0,0,,,,,,,,,,,Bournemouth
Will Dennis,ENG,GK,24.0,0,0,,,,,,,,,,,Bournemouth
Archie Harris,WAL,DF,19.0,0,0,,,,,,,,,,,Bournemouth
Hamed Junior Traorè,CIV,"FW,MF",24.0,0,0,,,,,,,,,,,Bournemouth
Callan Mckenna,SCO,GK,17.0,0,0,,,,,,,,,,,Bournemouth
Dominic Sadi,ENG,MF,20.0,0,0,,,,,,,,,,,Bournemouth
Maxwell Wellings,ENG,DF,19.0,0,0,,,,,,,,,,,Bournemouth
Nathan Collins,IRL,DF,23.0,38,38,"3,420",38.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,Brentford
Bryan Mbeumo,CMR,FW,24.0,38,38,"3,414",37.9,20.0,7.0,27.0,15.0,5.0,6.0,3.0,0.0,Brentford
Mark Flekken,NED,GK,31.0,37,37,"3,275",36.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,Brentford
Keane Lewis-Potter,ENG,"DF,FW",23.0,38,36,"3,093",34.4,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,Brentford
Yoane Wissa,COD,FW,27.0,35,34,"2,919",32.4,19.0,4.0,23.0,19.0,0.0,0.0,5.0,0.0,Brentford
Mikkel Damsgaard,DEN,"MF,FW",24.0,38,34,"2,911",32.3,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,Brentford
Christian Nørgaard,DEN,MF,30.0,34,34,"2,819",31.3,5.0,4.0,9.0,5.0,0.0,0.0,8.0,1.0,Brentford
Sepp van den Berg,NED,DF,22.0,31,29,"2,586",28.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Brentford
Vitaly Janelt,GER,MF,26.0,32,27,"2,254",25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,Brentford
Kevin Schade,GER,FW,22.0,38,26,"2,293",25.5,11.0,2.0,13.0,11.0,0.0,0.0,3.0,0.0,Brentford
Ethan Pinnock,JAM,DF,31.0,22,21,"1,913",21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,Brentford
Kristoffer Ajer,NOR,DF,26.0,24,17,"1,438",16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brentford
Yehor Yarmoliuk,UKR,MF,20.0,31,15,"1,450",16.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Brentford
Mads Roerslev,DEN,DF,25.0,19,11,"1,101",12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Brentford
Mathias Jensen,DEN,MF,28.0,24,8,862,9.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Brentford
Michael Kayode,ITA,DF,20.0,12,6,528,5.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Brentford
Fabio Carvalho,POR,"FW,MF",21.0,19,3,455,5.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,Brentford
Ben Mee,ENG,DF,34.0,7,2,183,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Brentford
Thiago,BRA,"FW,MF",23.0,8,1,175,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Hákon Valdimarsson,ISL,GK,22.0,2,1,145,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Edmond-Paris Maghoma,ENG,"MF,FW",23.0,8,0,119,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Rico Henry,ENG,DF,27.0,5,0,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Yunus Emre Konak,TUR,"FW,MF",18.0,10,0,42,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Kim Jisoo,KOR,DF,19.0,3,0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Frank Onyeka,NGA,MF,26.0,2,0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Gustavo Nunes,BRA,"FW,MF",18.0,3,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Jayden Meghoma,ENG,DF,18.0,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Ryan Trevitt,ENG,MF,21.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Benjamin Arthur,ENG,DF,18.0,0,0,,,,,,,,,,,Brentford
Julian Eyestone,USA,GK,18.0,0,0,,,,,,,,,,,Brentford
Benjamin Fredrick,NGA,DF,19.0,0,0,,,,,,,,,,,Brentford
Aaron Hickey,SCO,"DF,MF",22.0,0,0,,,,,,,,,,,Brentford
Iwan Morgan,WAL,FW,18.0,0,0,,,,,,,,,,,Brentford
Myles Peart-Harris,ENG,MF,21.0,0,0,,,,,,,,,,,Brentford
Tony Yogane,ENG,MF,18.0,0,0,,,,,,,,,,,Brentford
Bart Verbruggen,NED,GK,21.0,36,36,"3,240",36.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Brighton
Jan Paul van Hecke,NED,DF,24.0,34,33,"2,958",32.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,Brighton
Carlos Baleba,CMR,MF,20.0,34,31,"2,661",29.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,Brighton
Kaoru Mitoma,JPN,"FW,MF",27.0,36,28,"2,603",28.9,10.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,Brighton
Pervis Estupiñán,ECU,DF,26.0,30,26,"2,402",26.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,Brighton
Danny Welbeck,ENG,FW,33.0,30,24,"2,115",23.5,10.0,4.0,14.0,9.0,1.0,1.0,5.0,0.0,Brighton
Lewis Dunk,ENG,DF,32.0,25,23,"2,083",23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brighton
João Pedro,BRA,"FW,MF",22.0,27,23,"1,948",21.6,10.0,6.0,16.0,5.0,5.0,5.0,4.0,1.0,Brighton
Yasin Ayari,SWE,MF,20.0,34,22,"1,965",21.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,Brighton
Jack Hinshelwood,ENG,"MF,DF",19.0,26,22,"1,842",20.5,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,Brighton
Yankuba Minteh,GAM,"FW,MF",20.0,32,20,"1,838",20.4,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,Brighton
Joël Veltman,NED,DF,32.0,21,19,"1,697",18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brighton
Georginio Rutter,FRA,"MF,FW",22.0,28,19,"1,656",18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,Brighton
Simon Adingra,CIV,"FW,MF",22.0,29,12,"1,097",12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,Brighton
Matt O'Riley,DEN,MF,23.0,21,11,938,10.4,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,Brighton
Adam Webster,ENG,DF,29.0,14,11,887,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brighton
Mats Wieffer,NED,"DF,MF",24.0,25,10,"1,015",11.3,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,Brighton
Igor,BRA,DF,26.0,13,10,961,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Brighton
Tariq Lamptey,GHA,DF,23.0,15,10,860,9.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,Brighton
Brajan Gruda,GER,"MF,FW",20.0,21,8,687,7.6,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,Brighton
Ferdi Kadioglu,TUR,"DF,MF",24.0,6,5,385,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Brighton
Diego Gómez,PAR,MF,21.0,16,4,516,5.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Brighton
James Milner,ENG,MF,38.0,4,3,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brighton
Julio Enciso,PAR,"MF,FW",20.0,12,2,294,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Evan Ferguson,IRL,FW,19.0,13,2,246,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Brighton
Jason Steele,ENG,GK,33.0,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Solly March,ENG,"FW,MF",30.0,8,1,168,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Brighton
Billy Gilmour,SCO,MF,23.0,2,1,98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Eiran Cashin,IRL,DF,22.0,2,0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Jakub Moder,POL,MF,25.0,4,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Jeremy Sarmiento,ECU,MF,22.0,1,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Harry Howell,ENG,FW,15.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Valentín Barco,ARG,"DF,MF",20.0,0,0,,,,,,,,,,,Brighton
Killian Cahill,IRL,GK,20.0,0,0,,,,,,,,,,,Brighton
Joe Knight,ENG,MF,18.0,0,0,,,,,,,,,,,Brighton
Ruairi Mcconville,NIR,DF,19.0,0,0,,,,,,,,,,,Brighton
Mark O'Mahony,IRL,FW,19.0,0,0,,,,,,,,,,,Brighton
Carl Rushworth,ENG,GK,23.0,0,0,,,,,,,,,,,Brighton
Imari Samuels,ENG,DF,21.0,0,0,,,,,,,,,,,Brighton
Freddie Simmonds,ENG,DF,16.0,0,0,,,,,,,,,,,Brighton
Jacob Slater,IRL,DF,19.0,0,0,,,,,,,,,,,Brighton
Charlie Tasker,ENG,DF,18.0,0,0,,,,,,,,,,,Brighton
Moisés Caicedo,ECU,"MF,DF",22.0,38,38,"3,351",37.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,Chelsea
Cole Palmer,ENG,"MF,FW",22.0,37,36,"3,191",35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,Chelsea
Levi Colwill,ENG,DF,21.0,35,35,"3,149",35.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,Chelsea
Marc Cucurella,ESP,DF,26.0,36,33,"2,988",33.2,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,Chelsea
Enzo Fernández,ARG,MF,23.0,36,32,"2,947",32.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,Chelsea
Robert Sánchez,ESP,GK,26.0,32,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Chelsea
Nicolas Jackson,SEN,FW,23.0,30,28,"2,220",24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,Chelsea
Noni Madueke,ENG,FW,22.0,32,27,"2,033",22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,Chelsea
Pedro Neto,POR,FW,24.0,35,24,"2,269",25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,Chelsea
Malo Gusto,FRA,DF,21.0,32,19,"1,862",20.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Chelsea
Jadon Sancho,ENG,FW,24.0,31,19,"1,764",19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,Chelsea
Tosin Adarabioyo,ENG,DF,26.0,22,15,"1,409",15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,Chelsea
Wesley Fofana,FRA,DF,23.0,14,14,"1,172",13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Chelsea
Reece James,ENG,"DF,MF",24.0,19,12,"1,063",11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Chelsea
Trevoh Chalobah,ENG,DF,25.0,13,11,910,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Chelsea
Roméo Lavia,BEL,MF,20.0,16,11,797,8.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Chelsea
Christopher Nkunku,FRA,FW,26.0,27,9,921,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,Chelsea
Filip Jørgensen,DEN,GK,22.0,6,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Axel Disasi,FRA,DF,26.0,6,4,364,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Chelsea
João Félix,POR,"FW,MF",24.0,12,3,369,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Chelsea
Benoît Badiashile,FRA,DF,23.0,5,3,334,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Kiernan Dewsbury-Hall,ENG,"MF,FW",25.0,13,2,264,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Joshua Acheampong,ENG,DF,18.0,4,2,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Chelsea
Tyrique George,ENG,FW,18.0,8,1,183,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Chelsea
Renato Veiga,POR,"DF,MF",21.0,7,1,181,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Chelsea
Mykhailo Mudryk,UKR,FW,23.0,7,1,151,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Marc Guiu,ESP,FW,18.0,3,0,73,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Mathis Amougou,FRA,MF,18.0,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
