Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Team
Ezri Konsa,ENG,DF,26,34,33,2936,32.6,2,0,2,2,0,0,1,0,Aston Villa
Ollie Watkins,ENG,FW,28,38,31,2598,28.9,16,8,24,14,2,2,2,0,Aston Villa
Lucas Digne,FRA,DF,31,32,28,2351,26.1,0,4,4,0,0,0,4,0,Aston Villa
John McGinn,SCO,"MF,FW",29,34,27,2223,24.7,1,4,5,1,0,0,7,0,Aston Villa
Matty Cash,POL,DF,26,27,24,2070,23.0,1,1,2,1,0,0,7,0,Aston Villa
Pau Torres,ESP,DF,27,24,23,2020,22.4,0,0,0,0,0,0,2,0,Aston Villa
Boubacar Kamara,FRA,MF,24,26,20,1726,19.2,1,0,1,1,0,0,2,0,Aston Villa
Amadou Onana,BEL,MF,22,26,20,1617,18.0,3,0,3,3,0,0,4,0,Aston Villa
Jacob Ramsey,ENG,"FW,MF",23,29,19,1623,18.0,1,3,4,1,0,0,4,1,Aston Villa
Leon Bailey,JAM,"FW,MF",26,24,14,1139,12.7,1,2,3,1,0,0,3,0,Aston Villa
Tyrone Mings,ENG,DF,31,14,12,1120,12.4,0,0,0,0,0,0,1,0,Aston Villa
Ian Maatsen,NED,DF,22,29,10,1139,12.7,1,2,3,1,0,0,2,0,Aston Villa
Marco Asensio,ESP,MF,28,13,9,743,8.3,3,1,4,3,0,2,2,0,Aston Villa
Diego Carlos,BRA,DF,31,10,8,830,9.2,0,0,0,0,0,0,1,0,Aston Villa
Axel Disasi,FRA,DF,26,7,5,490,5.4,0,0,0,0,0,0,2,0,Aston Villa
Lamare Bogarde,NED,"DF,MF",20,8,5,476,5.3,0,0,0,0,0,0,2,0,Aston Villa
Andrés García,ESP,"DF,MF",21,7,5,318,3.5,0,0,0,0,0,0,0,0,Aston Villa
Jáder Durán,COL,FW,20,20,4,638,7.1,7,0,7,7,0,0,3,1,Aston Villa
Marcus Rashford,ENG,FW,26,10,4,444,4.9,2,2,4,1,1,1,0,0,Aston Villa
Ross Barkley,ENG,MF,30,20,3,581,6.5,3,1,4,3,0,0,3,0,Aston Villa
Jaden Philogene Bidace,ENG,"FW,MF",22,11,2,332,3.7,0,0,0,0,0,0,4,1,Aston Villa
Donyell Malen,NED,FW,25,14,2,305,3.4,3,0,3,3,0,0,0,0,Aston Villa
Robin Olsen,SWE,GK,34,4,1,226,2.5,0,0,0,0,0,0,0,0,Aston Villa
Kosta Nedeljković,SRB,DF,18,5,0,126,1.4,0,0,0,0,0,0,0,0,Aston Villa
Emi Buendía,ARG,"MF,FW",27,12,0,98,1.1,0,0,0,0,0,0,1,0,Aston Villa
Benjamin Broggio,ENG,FW,17,0,0,0,0.0,0,0,0,0,0,0,0,0,Aston Villa
Joe Gauci,AUS,GK,24,0,0,0,0.0,0,0,0,0,0,0,0,0,Aston Villa
Jamaldeen Jimoh,ENG,MF,17,0,0,0,0.0,0,0,0,0,0,0,0,0,Aston Villa
Sil Swinkels,NED,DF,20,0,0,0,0.0,0,0,0,0,0,0,0,0,Aston Villa
Kadan Young,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Aston Villa
Oliwier Zych,POL,GK,20,0,0,0,0.0,0,0,0,0,0,0,0,0,Aston Villa
Milos Kerkez,HUN,DF,20,38,38,3336,37.1,2,5,7,2,0,0,4,0,Bournemouth
Antoine Semenyo,GHA,FW,24,37,36,3203,35.6,11,5,16,11,0,0,9,0,Bournemouth
Illia Zabarnyi,UKR,DF,21,36,35,3109,34.5,0,1,1,0,0,0,4,1,Bournemouth
Lewis Cook,ENG,"MF,DF",27,36,32,2978,33.1,1,3,4,1,0,0,8,1,Bournemouth
Kepa Arrizabalaga,ESP,GK,29,31,31,2790,31.0,0,0,0,0,0,0,3,0,Bournemouth
Justin Kluivert,NED,MF,25,34,29,2340,26.0,12,6,18,6,6,6,8,0,Bournemouth
Evanilson,BRA,FW,24,31,28,2319,25.8,10,1,11,10,0,1,1,1,Bournemouth
Ryan Christie,SCO,MF,29,29,27,2117,23.5,2,3,5,2,0,0,9,0,Bournemouth
Dean Huijsen,ESP,DF,19,32,26,2427,27.0,3,2,5,3,0,0,10,0,Bournemouth
Dango Ouattara,BFA,FW,22,32,21,2005,22.3,7,4,11,7,0,0,3,0,Bournemouth
Tyler Adams,USA,MF,25,28,21,1965,21.8,0,3,3,0,0,0,7,0,Bournemouth
Marcus Tavernier,ENG,"FW,MF",25,29,20,1939,21.5,3,5,8,3,0,0,6,0,Bournemouth
Adam Smith,ENG,DF,33,25,19,1590,17.7,0,0,0,0,0,0,7,0,Bournemouth
Marcos Senesi,ARG,DF,27,17,13,1106,12.3,0,0,0,0,0,0,5,0,Bournemouth
David Brooks,WAL,"FW,MF",27,29,9,960,10.7,2,0,2,2,0,0,3,0,Bournemouth
Alex Scott,ENG,MF,20,20,8,755,8.4,0,0,0,0,0,0,3,0,Bournemouth
Julian Araujo,MEX,DF,22,12,7,497,5.5,0,0,0,0,0,0,2,0,Bournemouth
James Hill,ENG,DF,22,10,6,448,5.0,0,1,1,0,0,0,1,0,Bournemouth
Mark Travers,IRL,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0,Bournemouth
Enes Ünal,TUR,"FW,MF",27,17,2,345,3.8,2,1,3,2,0,0,2,0,Bournemouth
Neto,BRA,GK,35,2,2,180,2.0,0,0,0,0,0,0,0,0,Bournemouth
Luis Sinisterra,COL,"FW,MF",25,12,1,236,2.6,1,1,2,1,0,0,0,0,Bournemouth
Philip Billing,DEN,MF,28,10,1,184,2.0,0,0,0,0,0,0,1,0,Bournemouth
Max Aarons,ENG,DF,24,3,1,86,1.0,0,0,0,0,0,0,0,0,Bournemouth
Daniel Jebbison,CAN,FW,20,16,0,119,1.3,1,0,1,1,0,0,1,0,Bournemouth
Ben Winterburn,ENG,"MF,FW",19,4,0,24,0.3,0,0,0,0,0,0,0,0,Bournemouth
Julio Soler,ARG,"DF,FW",19,3,0,11,0.1,0,0,0,0,0,0,0,0,Bournemouth
Remy Rees-Dottin,ENG,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0,Bournemouth
Zain Silcott-Duberry,MSR,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,Bournemouth
Daniel Adu-Adjei,ENG,FW,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Matai Akinmboni,USA,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Jaidon Anthony,ENG,"FW,MF",24,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Will Dennis,ENG,GK,24,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Archie Harris,WAL,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Hamed Junior Traorè,CIV,"FW,MF",24,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Callan Mckenna,SCO,GK,17,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Dominic Sadi,ENG,MF,20,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Maxwell Wellings,ENG,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Bournemouth
Nathan Collins,IRL,DF,23,38,38,3420,38.0,2,3,5,2,0,0,5,0,Brentford
Bryan Mbeumo,CMR,FW,24,38,38,3414,37.9,20,7,27,15,5,6,3,0,Brentford
Mark Flekken,NED,GK,31,37,37,3275,36.4,0,2,2,0,0,0,1,0,Brentford
Keane Lewis-Potter,ENG,"DF,FW",23,38,36,3093,34.4,1,3,4,1,0,0,7,0,Brentford
Yoane Wissa,COD,FW,27,35,34,2919,32.4,19,4,23,19,0,0,5,0,Brentford
Mikkel Damsgaard,DEN,"MF,FW",24,38,34,2911,32.3,2,10,12,2,0,0,2,0,Brentford
Christian Nørgaard,DEN,MF,30,34,34,2819,31.3,5,4,9,5,0,0,8,1,Brentford
Sepp van den Berg,NED,DF,22,31,29,2586,28.7,0,0,0,0,0,0,3,0,Brentford
Vitaly Janelt,GER,MF,26,32,27,2254,25.0,1,3,4,1,0,0,3,0,Brentford
Kevin Schade,GER,FW,22,38,26,2293,25.5,11,2,13,11,0,0,3,0,Brentford
Ethan Pinnock,JAM,DF,31,22,21,1913,21.3,2,0,2,2,0,0,2,0,Brentford
Kristoffer Ajer,NOR,DF,26,24,17,1438,16.0,0,0,0,0,0,0,5,0,Brentford
Yehor Yarmoliuk,UKR,MF,20,31,15,1450,16.1,0,0,0,0,0,0,6,0,Brentford
Mads Roerslev,DEN,DF,25,19,11,1101,12.2,0,2,2,0,0,0,2,0,Brentford
Mathias Jensen,DEN,MF,28,24,8,862,9.6,0,2,2,0,0,0,2,0,Brentford
Michael Kayode,ITA,DF,20,12,6,528,5.9,0,1,1,0,0,0,2,0,Brentford
Fabio Carvalho,POR,"FW,MF",21,19,3,455,5.1,2,1,3,2,0,0,1,0,Brentford
Ben Mee,ENG,DF,34,7,2,183,2.0,0,0,0,0,0,0,2,0,Brentford
Thiago,BRA,"FW,MF",23,8,1,175,1.9,0,0,0,0,0,0,0,0,Brentford
Hákon Valdimarsson,ISL,GK,22,2,1,145,1.6,0,0,0,0,0,0,0,0,Brentford
Edmond-Paris Maghoma,ENG,"MF,FW",23,8,0,119,1.3,0,0,0,0,0,0,0,0,Brentford
Rico Henry,ENG,DF,27,5,0,99,1.1,0,0,0,0,0,0,0,0,Brentford
Yunus Emre Konak,TUR,"FW,MF",18,10,0,42,0.5,0,0,0,0,0,0,0,0,Brentford
Kim Jisoo,KOR,DF,19,3,0,30,0.3,0,0,0,0,0,0,0,0,Brentford
Frank Onyeka,NGA,MF,26,2,0,25,0.3,0,0,0,0,0,0,0,0,Brentford
Gustavo Nunes,BRA,"FW,MF",18,3,0,12,0.1,0,0,0,0,0,0,0,0,Brentford
Jayden Meghoma,ENG,DF,18,1,0,5,0.1,0,0,0,0,0,0,0,0,Brentford
Ryan Trevitt,ENG,MF,21,1,0,4,0.0,0,0,0,0,0,0,0,0,Brentford
Benjamin Arthur,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Brentford
Julian Eyestone,USA,GK,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Brentford
Benjamin Fredrick,NGA,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Brentford
Aaron Hickey,SCO,"DF,MF",22,0,0,0,0.0,0,0,0,0,0,0,0,0,Brentford
Iwan Morgan,WAL,FW,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Brentford
Myles Peart-Harris,ENG,MF,21,0,0,0,0.0,0,0,0,0,0,0,0,0,Brentford
Tony Yogane,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Brentford
Bart Verbruggen,NED,GK,21,36,36,3240,36.0,0,1,1,0,0,0,5,0,Brighton
Jan Paul van Hecke,NED,DF,24,34,33,2958,32.9,1,1,2,1,0,0,8,1,Brighton
Carlos Baleba,CMR,MF,20,34,31,2661,29.6,3,1,4,3,0,0,8,1,Brighton
Kaoru Mitoma,JPN,"FW,MF",27,36,28,2603,28.9,10,4,14,10,0,0,1,0,Brighton
Pervis Estupiñán,ECU,DF,26,30,26,2402,26.7,1,1,2,1,0,0,5,0,Brighton
Danny Welbeck,ENG,FW,33,30,24,2115,23.5,10,4,14,9,1,1,5,0,Brighton
Lewis Dunk,ENG,DF,32,25,23,2083,23.1,0,0,0,0,0,0,5,0,Brighton
João Pedro,BRA,"FW,MF",22,27,23,1948,21.6,10,6,16,5,5,5,4,1,Brighton
Yasin Ayari,SWE,MF,20,34,22,1965,21.8,2,1,3,2,0,0,3,0,Brighton
Jack Hinshelwood,ENG,"MF,DF",19,26,22,1842,20.5,5,2,7,5,0,0,5,0,Brighton
Yankuba Minteh,GAM,"FW,MF",20,32,20,1838,20.4,6,4,10,6,0,0,6,0,Brighton
Joël Veltman,NED,DF,32,21,19,1697,18.9,0,0,0,0,0,0,5,0,Brighton
Georginio Rutter,FRA,"MF,FW",22,28,19,1656,18.4,5,3,8,5,0,0,2,0,Brighton
Simon Adingra,CIV,"FW,MF",22,29,12,1097,12.2,2,2,4,2,0,0,0,0,Brighton
Matt O'Riley,DEN,MF,23,21,11,938,10.4,2,2,4,1,1,1,1,0,Brighton
Adam Webster,ENG,DF,29,14,11,887,9.9,0,0,0,0,0,0,1,0,Brighton
Mats Wieffer,NED,"DF,MF",24,25,10,1015,11.3,1,3,4,1,0,0,6,0,Brighton
Igor,BRA,DF,26,13,10,961,10.7,0,0,0,0,0,0,4,0,Brighton
Tariq Lamptey,GHA,DF,23,15,10,860,9.6,2,2,4,2,0,0,0,0,Brighton
Brajan Gruda,GER,"MF,FW",20,21,8,687,7.6,1,4,5,1,0,0,0,0,Brighton
Ferdi Kadioglu,TUR,"DF,MF",24,6,5,385,4.3,1,0,1,1,0,0,1,0,Brighton
Diego Gómez,PAR,MF,21,16,4,516,5.7,1,0,1,1,0,0,0,0,Brighton
James Milner,ENG,MF,38,4,3,170,1.9,0,0,0,0,0,0,1,0,Brighton
Julio Enciso,PAR,"MF,FW",20,12,2,294,3.3,0,0,0,0,0,0,0,0,Brighton
Evan Ferguson,IRL,FW,19,13,2,246,2.7,1,0,1,1,0,0,0,0,Brighton
Jason Steele,ENG,GK,33,2,2,180,2.0,0,0,0,0,0,0,0,0,Brighton
Solly March,ENG,"FW,MF",30,8,1,168,1.9,0,0,0,0,0,0,2,0,Brighton
Billy Gilmour,SCO,MF,23,2,1,98,1.1,0,0,0,0,0,0,0,0,Brighton
Eiran Cashin,IRL,DF,22,2,0,20,0.2,0,0,0,0,0,0,0,0,Brighton
Jakub Moder,POL,MF,25,4,0,11,0.1,0,0,0,0,0,0,0,0,Brighton
Jeremy Sarmiento,ECU,MF,22,1,0,9,0.1,0,0,0,0,0,0,0,0,Brighton
Harry Howell,ENG,FW,15,1,0,7,0.1,0,0,0,0,0,0,0,0,Brighton
Valentín Barco,ARG,"DF,MF",20,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Killian Cahill,IRL,GK,20,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Joe Knight,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Ruairi Mcconville,NIR,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Mark O'Mahony,IRL,FW,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Carl Rushworth,ENG,GK,23,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Imari Samuels,ENG,DF,21,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Freddie Simmonds,ENG,DF,16,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Jacob Slater,IRL,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Charlie Tasker,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Brighton
Moisés Caicedo,ECU,"MF,DF",22,38,38,3351,37.2,1,2,3,1,0,0,11,0,Chelsea
Cole Palmer,ENG,"MF,FW",22,37,36,3191,35.5,15,8,23,11,4,5,7,0,Chelsea
Levi Colwill,ENG,DF,21,35,35,3149,35.0,2,1,3,2,0,0,9,0,Chelsea
Marc Cucurella,ESP,DF,26,36,33,2988,33.2,5,1,6,5,0,0,10,1,Chelsea
Enzo Fernández,ARG,MF,23,36,32,2947,32.7,6,7,13,6,0,0,8,0,Chelsea
Robert Sánchez,ESP,GK,26,32,32,2880,32.0,0,0,0,0,0,0,5,0,Chelsea
Nicolas Jackson,SEN,FW,23,30,28,2220,24.7,10,5,15,10,0,0,7,1,Chelsea
Noni Madueke,ENG,FW,22,32,27,2033,22.6,7,3,10,7,0,0,3,0,Chelsea
Pedro Neto,POR,FW,24,35,24,2269,25.2,4,6,10,4,0,0,8,0,Chelsea
Malo Gusto,FRA,DF,21,32,19,1862,20.7,0,1,1,0,0,0,4,0,Chelsea
Jadon Sancho,ENG,FW,24,31,19,1764,19.6,3,4,7,3,0,0,2,0,Chelsea
Tosin Adarabioyo,ENG,DF,26,22,15,1409,15.7,1,1,2,1,0,0,4,0,Chelsea
Wesley Fofana,FRA,DF,23,14,14,1172,13.0,0,0,0,0,0,0,7,0,Chelsea
Reece James,ENG,"DF,MF",24,19,12,1063,11.8,1,1,2,1,0,0,1,0,Chelsea
Trevoh Chalobah,ENG,DF,25,13,11,910,10.1,0,1,1,0,0,0,2,0,Chelsea
Roméo Lavia,BEL,MF,20,16,11,797,8.9,0,1,1,0,0,0,4,0,Chelsea
Christopher Nkunku,FRA,FW,26,27,9,921,10.2,3,2,5,3,0,0,2,0,Chelsea
Filip Jørgensen,DEN,GK,22,6,6,540,6.0,0,0,0,0,0,0,0,0,Chelsea
Axel Disasi,FRA,DF,26,6,4,364,4.0,1,0,1,1,0,0,1,0,Chelsea
João Félix,POR,"FW,MF",24,12,3,369,4.1,1,1,2,1,0,0,2,0,Chelsea
Benoît Badiashile,FRA,DF,23,5,3,334,3.7,0,0,0,0,0,0,0,0,Chelsea
Kiernan Dewsbury-Hall,ENG,"MF,FW",25,13,2,264,2.9,0,1,1,0,0,0,0,0,Chelsea
Joshua Acheampong,ENG,DF,18,4,2,170,1.9,0,0,0,0,0,0,1,0,Chelsea
Tyrique George,ENG,FW,18,8,1,183,2.0,1,1,2,1,0,0,1,0,Chelsea
Renato Veiga,POR,"DF,MF",21,7,1,181,2.0,0,0,0,0,0,0,2,0,Chelsea
Mykhailo Mudryk,UKR,FW,23,7,1,151,1.7,0,0,0,0,0,0,0,0,Chelsea
Marc Guiu,ESP,FW,18,3,0,73,0.8,0,0,0,0,0,0,0,0,Chelsea
Mathis Amougou,FRA,MF,18,1,0,8,0.1,0,0,0,0,0,0,0,0,Chelsea
Shumaira Mheuka,ENG,MF,16,1,0,1,0.0,0,0,0,0,0,0,0,0,Chelsea
Aaron Anselmino,ARG,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Chelsea
Genesis Antwi,SWE,MF,17,0,0,0,0.0,0,0,0,0,0,0,0,0,Chelsea
Marcus Bettinelli,ENG,GK,32,0,0,0,0.0,0,0,0,0,0,0,0,0,Chelsea
Cesare Casadei,ITA,MF,21,0,0,0,0.0,0,0,0,0,0,0,0,0,Chelsea
Samuel Rak-Sakyi,ENG,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Chelsea
Ishé Samuels-Smith,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Chelsea
Dean Henderson,ENG,GK,27,38,38,3420,38.0,0,0,0,0,0,0,3,0,Crystal Palace
Daniel Muñoz,COL,DF,28,37,37,3228,35.9,4,5,9,4,0,0,10,0,Crystal Palace
Tyrick Mitchell,ENG,DF,24,37,37,3092,34.4,0,5,5,0,0,0,2,0,Crystal Palace
Maxence Lacroix,FRA,DF,24,35,35,3116,34.6,1,1,2,1,0,0,5,0,Crystal Palace
Marc Guéhi,ENG,DF,24,34,34,3059,34.0,3,2,5,3,0,0,9,1,Crystal Palace
Jean-Philippe Mateta,FRA,FW,27,37,33,2648,29.4,14,2,16,12,2,2,2,0,Crystal Palace
Eberechi Eze,ENG,"MF,FW",26,34,31,2588,28.8,8,8,16,7,1,2,1,0,Crystal Palace
Ismaila Sarr,SEN,MF,26,38,30,2711,30.1,8,6,14,8,0,0,4,0,Crystal Palace
Jefferson Lerma,COL,"MF,DF",29,33,26,2274,25.3,0,1,1,0,0,0,9,0,Crystal Palace
Will Hughes,ENG,MF,29,33,24,2108,23.4,0,3,3,0,0,0,11,0,Crystal Palace
Chris Richards,USA,DF,24,24,22,1922,21.4,1,0,1,1,0,0,4,1,Crystal Palace
Adam Wharton,ENG,MF,20,20,16,1318,14.6,0,2,2,0,0,0,2,0,Crystal Palace
Daichi Kamada,JPN,MF,27,34,15,1564,17.4,0,0,0,0,0,0,4,1,Crystal Palace
Trevoh Chalobah,ENG,DF,25,12,12,1060,11.8,3,0,3,3,0,0,1,0,Crystal Palace
Eddie Nketiah,ENG,"FW,MF",25,29,9,1034,11.5,3,1,4,3,0,0,6,1,Crystal Palace
Nathaniel Clyne,ENG,"DF,MF",33,13,5,483,5.4,0,0,0,0,0,0,1,0,Crystal Palace
Justin Devenny,NIR,MF,20,23,4,507,5.6,1,1,2,1,0,0,1,0,Crystal Palace
Cheick Doucouré,MLI,MF,24,13,4,452,5.0,0,0,0,0,0,0,1,0,Crystal Palace
Ben Chilwell,ENG,DF,27,8,1,259,2.9,1,0,1,1,0,0,1,0,Crystal Palace
Romain Esse,ENG,MF,19,7,1,138,1.5,1,1,2,1,0,0,0,0,Crystal Palace
Odsonne Édouard,FRA,"MF,FW",26,2,1,115,1.3,0,0,0,0,0,0,0,0,Crystal Palace
Joachim Andersen,DEN,DF,28,1,1,90,1.0,0,0,0,0,0,0,1,0,Crystal Palace
Chadi Riad,MAR,DF,21,1,1,90,1.0,0,0,0,0,0,0,0,0,Crystal Palace
Joel Ward,ENG,DF,34,2,1,71,0.8,0,0,0,0,0,0,1,0,Crystal Palace
Jeffrey Schlupp,GHA,"MF,DF",31,12,0,103,1.1,0,0,0,0,0,0,0,0,Crystal Palace
Matheus França,BRA,"MF,FW",20,4,0,55,0.6,1,0,1,1,0,0,0,0,Crystal Palace
Jordan Ayew,GHA,"FW,MF",32,1,0,21,0.2,0,0,0,0,0,0,1,0,Crystal Palace
Caleb Kporha,ENG,DF,18,2,0,13,0.1,0,0,0,0,0,0,0,0,Crystal Palace
Asher Agbinone,ENG,MF,18,2,0,6,0.1,0,0,0,0,0,0,0,0,Crystal Palace
Naouirou Ahamada,FRA,MF,22,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Rob Holding,ENG,DF,28,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Sam Johnstone,ENG,GK,31,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Zachariah Marsh,ENG,FW,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Remi Matthews,ENG,GK,30,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Kaden Rodney,ENG,"DF,MF",19,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Matt Turner,USA,GK,30,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Franco Umeh-Chibueze,IRL,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Crystal Palace
Jordan Pickford,ENG,GK,30,38,38,3420,38.0,0,1,1,0,0,0,7,0,Everton
Vitaliy Mykolenko,UKR,DF,25,35,35,3082,34.2,1,2,3,1,0,0,4,0,Everton
Idrissa Gana Gueye,SEN,MF,34,37,35,3063,34.0,0,3,3,0,0,0,9,0,Everton
James Tarkowski,ENG,DF,31,33,33,2922,32.5,1,1,2,1,0,0,6,0,Everton
Abdoulaye Doucouré,MLI,MF,31,33,31,2564,28.5,3,2,5,3,0,0,5,1,Everton
Iliman Ndiaye,SEN,FW,24,33,29,2430,27.0,9,0,9,7,2,2,3,0,Everton
Jarrad Branthwaite,ENG,DF,22,30,28,2511,27.9,0,1,1,0,0,0,4,0,Everton
Jack Harrison,ENG,FW,27,34,24,2076,23.1,1,0,1,1,0,0,0,0,Everton
Ashley Young,ENG,DF,39,32,19,1875,20.8,1,3,4,1,0,0,7,1,Everton
Dominic Calvert-Lewin,ENG,FW,27,26,19,1609,17.9,3,1,4,3,0,0,2,0,Everton
